Title,URL,Publish Date,Mentioned Times,Word Count
Hai bộ bị kiến nghị kiểm điểm trách nhiệm liên quan dự án sử dụng trái phiếu Chính phủ,/hai-bo-bi-kien-nghi-kiem-diem-trach-nhiem-lien-quan-du-an-su-dung-trai-phieu-chinh-phu-20221229140157999.htm,2022-12-29,0,1467
Có dấu hiệu nâng giá chênh lệch đấu thầu 41 tỉ đồng cho ba thiết bị do Sở Y tế TP.HCM làm chủ đầu tư,/co-dau-hieu-nang-gia-chenh-lech-dau-thau-41-ti-dong-cho-ba-thiet-bi-do-so-y-te-tp-hcm-lam-chu-dau-tu-20221223203148232.htm,2022-12-23,0,1475
Nhiều gói thầu thiết bị y tế chống dịch COVID-19 ở TP.HCM có dấu hiệu nâng giá cao bất thường,/nhieu-goi-thau-thiet-bi-y-te-chong-dich-covid-19-o-tp-hcm-co-dau-hieu-nang-gia-cao-bat-thuong-20221223180234242.htm,2022-12-23,0,1572
"'Gặp Thủ tướng, các địa phương lại xin tháo gỡ cho cây cầu, vài công trình vì ngoài tầm giải quyết'",/gap-thu-tuong-cac-dia-phuong-lai-xin-thao-go-cho-cay-cau-vai-cong-trinh-vi-ngoai-tam-giai-quyet-2022121414132995.htm,2022-12-14,0,1376
"Trường Đại học Hồng Đức đào tạo đa ngành hiệu quả, hướng tới chất lượng cao",/truong-dai-hoc-hong-duc-dao-tao-da-nganh-hieu-qua-huong-toi-chat-luong-cao-20221128113823516.htm,2022-11-29,0,1539
Một tỉnh miền núi đề nghị trả nợ vay lại trước hạn hơn 33 tỉ đồng,/mot-tinh-mien-nui-de-nghi-tra-no-vay-lai-truoc-han-hon-33-ti-dong-20221128160228961.htm,2022-11-28,0,1338
"Yêu cầu giảm hợp lý số lượng các bộ, cơ quan ngang bộ, thí điểm sắp xếp đơn vị hành chính cấp tỉnh",/yeu-cau-giam-hop-ly-so-luong-cac-bo-co-quan-ngang-bo-thi-diem-sap-xep-don-vi-hanh-chinh-cap-tinh-20221128120348134.htm,2022-11-28,0,1495
Cụ thể hóa hành động phát triển đột phá vùng Đông Nam Bộ,/cu-the-hoa-hanh-dong-phat-trien-dot-pha-vung-dong-nam-bo-20221123203723892.htm,2022-11-24,0,1082
Bầu cử Malaysia: Hệ thống hai đảng chi phối đã bị phá vỡ,/bau-cu-malaysia-he-thong-hai-dang-chi-phoi-da-bi-pha-vo-20221120124641056.htm,2022-11-20,0,842
Tin sáng 17-11: Hai phương án đầu tư sân bay Côn Đảo; Metro số 1 TP.HCM dự kiến xong cuối năm 2023,/tin-sang-17-11-hai-phuong-an-dau-tu-san-bay-con-dao-metro-so-1-tp-hcm-du-kien-xong-cuoi-2023-20221116214458191.htm,2022-11-17,0,1408
