Title,URL,Publish Date,Mentioned Times,Word Count
"Người dân TP.HCM sắp thoát cảnh ‘đổ mồ hôi’ đi trích lục khai sinh, kết hôn",/nguoi-dan-tp-hcm-sap-thoat-canh-do-mo-hoi-di-trich-luc-khai-sinh-ket-hon-1851464476.htm,2022-01-06,1,611
"Số hóa, dữ liệu và con người là chìa khóa để chuyển đổi doanh nghiệp thành công",/so-hoa-du-lieu-va-con-nguoi-la-chia-khoa-de-chuyen-doi-doanh-nghiep-thanh-cong-1851458203.htm,2022-05-13,0,2114
Khẩn cấp số hóa dữ liệu nghệ thuật đương đại,/khan-cap-so-hoa-du-lieu-nghe-thuat-duong-dai-1851428133.htm,2022-10-02,1,1324
"Gói thầu ở Quảng Trị, bán hồ sơ dự thầu ở... Hà Nội",/goi-thau-o-quang-tri-ban-ho-so-du-thau-o-ha-noi-1851418600.htm,2022-06-01,3,951
Ông Nguyễn Đức Chung xin khoan hồng để chữa bệnh,/ong-nguyen-duc-chung-xin-khoan-hong-de-chua-benh-1851416843.htm,2021-12-31,1,1255
Tổng cục Thuế sử dụng giải pháp Bkav eHoadon giúp kết nối trực tiếp,/tong-cuc-thue-su-dung-giai-phap-bkav-ehoadon-1851396558.htm,2021-10-31,1,328
Số hóa và lập Cổng thông tin về lễ hội Việt Nam,/so-hoa-va-lap-cong-thong-tin-ve-le-hoi-viet-nam-1851094574.htm,2021-07-29,1,528
Cục Đăng kiểm nghiên cứu bỏ giấy chứng nhận đăng kiểm ô tô,/cuc-dang-kiem-nghien-cuu-bo-giay-chung-nhan-dang-kiem-o-to-1851274110.htm,2021-06-18,1,648
Microsoft đưa trung tâm dữ liệu xuống đáy biển,/microsoft-dua-trung-tam-du-lieu-xuong-day-bien-1851024366.htm,2020-12-29,1,502
Sony chi hơn 1 tỉ USD mua lại dịch vụ stream hoạt hình của AT&T,/sony-chi-hon-1-ti-usd-mua-lai-dich-vu-stream-hoat-hinh-cua-att-1851019442.htm,2020-10-12,1,516
Boom Technology ứng dụng giải pháp dịch vụ đám mây AWS,/boom-technology-ung-dung-giai-phap-dich-vu-dam-may-aws-1851018461.htm,2020-08-12,1,484
Diễn đàn Công nghệ FPT Techday 2020 sắp tổ chức tại TP.HCM,/dien-dan-cong-nghe-fpt-techday-2020-sap-to-chuc-tai-tphcm-1851010749.htm,2020-10-11,1,577
Công bố bộ giải pháp quản trị nhân sự toàn diện Base HRM+,/cong-bo-bo-giai-phap-quan-tri-nhan-su-toan-dien-base-hrm-1851007259.htm,2020-10-29,1,459
Giải pháp tối ưu hạ tầng công nghệ cho doanh nghiệp,/giai-phap-toi-uu-ha-tang-cong-nghe-cho-doanh-nghiep-1851003019.htm,2020-10-16,1,532
Giám đốc Google AI Jeff Dean: Việt Nam có tiềm năng lớn tăng tốc AI,/giam-doc-google-ai-jeff-dean-viet-nam-co-the-ung-dung-ai-vao-nhieu-linh-vuc-185995179.htm,2020-09-19,1,1351
Keysight mở rộng chương trình KeysightCare,/keysight-mo-rong-chuong-trinh-keysightcare-185995053.htm,2020-09-18,1,457
Tăng tốc chuyển đổi số để phát triển chính phủ điện tử,/tang-toc-chuyen-doi-so-de-phat-trien-chinh-phu-dien-tu-185994792.htm,2020-09-17,1,1004
Alibaba hé lộ nhà máy sản xuất kỹ thuật số mới,/alibaba-he-lo-nha-may-san-xuat-ky-thuat-so-moi-185994605.htm,2020-09-17,1,437
Keysight hợp tác Compal giúp xác nhận các sản phẩm 5G,/keysight-hop-tac-compal-giup-xac-nhan-cac-san-pham-5g-185994185.htm,2020-09-15,1,482
NVIDIA chính thức mua ARM với giá 40 tỉ USD,/nvidia-chinh-thuc-mua-arm-voi-gia-40-ti-usd-185993738.htm,2020-09-14,1,480
FPT IS giúp chuyển đổi số cho MEDLATEC,/fpt-is-giup-chuyen-doi-so-cho-medlatec-185990924.htm,2020-04-09,1,446
Google đầu tư 10 tỉ USD vào Ấn Độ để tăng tốc số hóa,/google-dau-tu-10-ti-usd-vao-an-do-de-tang-toc-so-hoa-185974138.htm,2020-07-14,1,514
FPT hợp tác viện nghiên cứu AI hàng đầu thế giới Mila,/fpt-hop-tac-vien-nghien-cuu-ai-hang-dau-the-gioi-mila-185964227.htm,2020-06-13,1,1062
"Sở Y tế TP.HCM số hóa dữ liệu người nhiễm, cách ly liên quan do Covid-19",/so-y-te-tphcm-so-hoa-du-lieu-nguoi-nhiem-cach-ly-lien-quan-do-covid-19-185942140.htm,2020-02-04,1,629
Đô thị thông minh lấy dân làm trung tâm,/do-thi-thong-minh-lay-dan-lam-trung-tam-185925675.htm,2020-02-15,3,771
